pickup_location,hour,earnings
Bronx,1,23.951428571428572
Bronx,2,24.582222222222224
Bronx,3,20.307142857142857
Bronx,4,26.708333333333332
Bronx,5,29.5
Bronx,6,30.674999999999997
Bronx,7,47.15
Bronx,8,16.153333333333332
Bronx,9,22.119333333333334
Bronx,10,23.201666666666668
Bronx,11,21.96794117647059
Bronx,12,22.531666666666666
Bronx,13,21.676176470588235
Bronx,14,22.903125
Bronx,15,23.532558139534885
Bronx,16,25.8225
Bronx,17,22.925555555555555
Bronx,18,22.68541666666667
Bronx,19,21.516875
Bronx,20,19.025555555555556
Bronx,21,17.490357142857142
Bronx,22,18.983888888888888
Bronx,23,23.568461538461538
Bronx,24,16.720000000000002
Brooklyn,1,31.06954545454545
Brooklyn,2,30.729166666666668
Brooklyn,3,30.81283870967742
Brooklyn,4,37.69929292929293
Brooklyn,5,35.33011764705882
Brooklyn,6,55.553947368421056
Brooklyn,7,43.06829268292683
Brooklyn,8,45.1641975308642
Brooklyn,9,38.45512605042017
Brooklyn,10,32.278715083798886
Brooklyn,11,29.516351931330473
Brooklyn,12,26.373274021352316
Brooklyn,13,26.552857142857142
Brooklyn,14,26.92075129533679
Brooklyn,15,26.86969465648855
Brooklyn,16,27.01595660749507
Brooklyn,17,28.211479999999998
Brooklyn,18,27.030206766917292
Brooklyn,19,26.37391379310345
Brooklyn,20,26.61096834264432
Brooklyn,21,25.889531568228108
Brooklyn,22,26.748994845360826
Brooklyn,23,29.96753623188406
Brooklyn,24,29.546944444444446
Manhattan,1,20.660078125000002
Manhattan,2,22.927341040462426
Manhattan,3,23.114639175257732
Manhattan,4,22.099285714285713
Manhattan,5,21.560555555555553
Manhattan,6,24.308208955223883
Manhattan,7,19.090887480190176
Manhattan,8,20.13845424107143
Manhattan,9,22.056877431906617
Manhattan,10,22.0
Manhattan,11,22.494343807763403
Manhattan,12,23.04563945257197
Manhattan,13,23.070124819971195
Manhattan,14,23.021714554875174
Manhattan,15,23.60088469601677
Manhattan,16,22.657199418815836
Manhattan,17,24.985673528349587
Manhattan,18,24.79701219512195
Manhattan,19,24.72500970120295
Manhattan,20,23.49430367018602
Manhattan,21,22.90946466809422
Manhattan,22,22.27231557377049
Manhattan,23,22.29413694721826
Manhattan,24,21.843502935420744
Queens,1,20.855704989154013
Queens,2,21.93914201183432
Queens,3,24.329687500000002
Queens,4,24.048171641791043
Queens,5,24.734450000000002
Queens,6,26.78
Queens,7,32.361463414634144
Queens,8,24.566126760563378
Queens,9,26.81031746031746
Queens,10,25.888666666666666
Queens,11,24.11278095238095
Queens,12,24.498150572831424
Queens,13,22.433152173913044
Queens,14,23.35269076305221
Queens,15,23.382174940898345
Queens,16,22.594764595103577
Queens,17,23.858429054054056
Queens,18,25.01343944099379
Queens,19,22.958663761801017
Queens,20,21.19111111111111
Queens,21,21.695746864310145
Queens,22,21.081722054380666
Queens,23,21.636918138041732
Queens,24,21.823461538461537
Staten Island,4,31.55
Staten Island,9,19.32
Staten Island,10,18.0
Staten Island,15,21.9
Staten Island,17,11.2
Staten Island,18,43.7
Staten Island,19,29.4
