day,hour,vendor_id
Friday,1,133
Friday,2,76
Friday,3,37
Friday,4,34
Friday,5,23
Friday,6,36
Friday,7,126
Friday,8,374
Friday,9,418
Friday,10,419
Friday,11,429
Friday,12,411
Friday,13,394
Friday,14,417
Friday,15,560
Friday,16,665
Friday,17,662
Friday,18,681
Friday,19,675
Friday,20,540
Friday,21,411
Friday,22,301
Friday,23,267
Friday,24,232
Monday,1,107
Monday,2,62
Monday,3,42
Monday,4,60
Monday,5,45
Monday,6,44
Monday,7,121
Monday,8,357
Monday,9,381
Monday,10,439
Monday,11,445
Monday,12,480
Monday,13,504
Monday,14,528
Monday,15,546
Monday,16,661
Monday,17,677
Monday,18,662
Monday,19,696
Monday,20,536
Monday,21,369
Monday,22,290
Monday,23,202
Monday,24,138
Saturday,1,192
Saturday,2,167
Saturday,3,118
Saturday,4,96
Saturday,5,76
Saturday,6,41
Saturday,7,44
Saturday,8,102
Saturday,9,178
Saturday,10,233
Saturday,11,326
Saturday,12,406
Saturday,13,436
Saturday,14,483
Saturday,15,430
Saturday,16,562
Saturday,17,544
Saturday,18,485
Saturday,19,507
Saturday,20,458
Saturday,21,388
Saturday,22,305
Saturday,23,290
Saturday,24,266
Sunday,1,236
Sunday,2,234
Sunday,3,184
Sunday,4,159
Sunday,5,125
Sunday,6,64
Sunday,7,44
Sunday,8,89
Sunday,9,114
Sunday,10,207
Sunday,11,310
Sunday,12,396
Sunday,13,446
Sunday,14,447
Sunday,15,479
Sunday,16,541
Sunday,17,520
Sunday,18,478
Sunday,19,486
Sunday,20,420
Sunday,21,360
Sunday,22,280
Sunday,23,182
Sunday,24,146
Thursday,1,85
Thursday,2,59
Thursday,3,40
Thursday,4,27
Thursday,5,28
Thursday,6,50
Thursday,7,144
Thursday,8,393
Thursday,9,441
Thursday,10,485
Thursday,11,469
Thursday,12,444
Thursday,13,432
Thursday,14,473
Thursday,15,540
Thursday,16,632
Thursday,17,672
Thursday,18,722
Thursday,19,752
Thursday,20,529
Thursday,21,433
Thursday,22,297
Thursday,23,235
Thursday,24,161
Tuesday,1,79
Tuesday,2,46
Tuesday,3,42
Tuesday,4,34
Tuesday,5,18
Tuesday,6,42
Tuesday,7,175
Tuesday,8,498
Tuesday,9,589
Tuesday,10,583
Tuesday,11,531
Tuesday,12,490
Tuesday,13,505
Tuesday,14,492
Tuesday,15,614
Tuesday,16,698
Tuesday,17,760
Tuesday,18,749
Tuesday,19,765
Tuesday,20,618
Tuesday,21,452
Tuesday,22,318
Tuesday,23,238
Tuesday,24,159
Wednesday,1,82
Wednesday,2,64
Wednesday,3,27
Wednesday,4,26
Wednesday,5,14
Wednesday,6,39
Wednesday,7,150
Wednesday,8,372
Wednesday,9,465
Wednesday,10,478
Wednesday,11,458
Wednesday,12,418
Wednesday,13,396
Wednesday,14,455
Wednesday,15,516
Wednesday,16,612
Wednesday,17,667
Wednesday,18,705
Wednesday,19,708
Wednesday,20,584
Wednesday,21,395
Wednesday,22,264
Wednesday,23,203
Wednesday,24,146
